icc,lbound,ubound,conf_level,Fvalue,df1,df2,p,r0,feat
0.974306222688912,0.918095825913583,0.9920922856025,0.95,71.0958168488979,12.0,12.03013840872,2.97399447192446e-09,0.0,tft_10mwrt
0.909986123029502,0.730391673122666,0.97172131613215,0.95,19.6676939236181,12.0,12.005107573481,4.77934230794516e-06,0.0,tft_tug
0.827422456175618,0.529577691596645,0.943872506743033,0.95,11.8919635061572,12.0,11.543016853678,9.25846921742391e-05,0.0,tft_5xsts
0.815384615384615,0.492714441214689,0.9401490250657,0.95,9.15384615384615,12.0,12.0,0.000271726704364674,0.0,brooke_score
0.764735128080591,0.381729402292433,0.922374583603887,0.95,8.90115193623695,12.0,10.2961715304672,0.000693851770343866,0.0,tft_10mwt
0.966488670256272,0.897013423892426,0.989566157301672,0.95,56.5149309310393,12.0,12.7574112123646,4.60076440119196e-09,0.0,10mwrt_speed
0.963268741427826,0.886255488068879,0.988590907456751,0.95,50.5410863656067,12.0,12.4754248344598,1.28203602908528e-08,0.0,10mwrt_stride_time
0.943431495378263,0.83038252378251,0.982240528241632,0.95,33.2277861422593,12.0,12.7960711112965,1.14257892819617e-07,0.0,jump_max_com_vel
0.924297054495582,0.770277134778787,0.976322858525042,0.95,23.5624615002062,12.0,12.022110705062,1.72907667554703e-06,0.0,tug_cone_time
0.913056578505333,0.748908134751966,0.972342020155282,0.95,22.8010460738664,12.0,12.8487037667484,1.04704732655852e-06,0.0,brooke_max_min_sa
0.911631336430563,0.74525362759618,0.971872166588127,0.95,21.4814060810006,12.0,12.9814545678111,1.34215554817361e-06,0.0,toe_stand_int_mean_heel_elev
0.869823255386695,0.639357895878863,0.957946871667735,0.95,14.2605100331334,12.0,12.9733586226776,1.4882344100119e-05,0.0,tug_cone_turn_avel
0.8590166526561,0.59190227373145,0.955173333606131,0.95,15.2901826183851,12.0,10.7473490498972,4.41967476747564e-05,0.0,5xsts_time_5
0.852308241977075,0.530216774264294,0.954653802276572,0.95,16.0930579186385,12.0,8.34795258722191,0.000204793124506193,0.0,10mwrt_mean_max_ka
0.842375739167592,0.55254743516097,0.949524421410893,0.95,13.569676352964,12.0,10.7378971500904,7.90125424262412e-05,0.0,10mwrt_ankle_elev
0.833991397515553,0.369577523443887,0.95245385304424,0.95,16.8478635632877,12.0,5.45822489673101,0.00193491469307053,0.0,10mwt_stride_time
0.822727227897278,0.531574077226648,0.941652655519945,0.95,10.406703736327,12.0,12.9975408887469,8.60647566927228e-05,0.0,10mwt_com_sway
0.816763018394302,0.508506128441479,0.940042665857541,0.95,9.52190221219766,12.0,12.6211070652398,0.000166269556726426,0.0,toe_stand_int_com_elev
0.79815502613155,0.478172036836996,0.932960157237144,0.95,8.99530349029805,12.0,12.9999780312072,0.000189348666187208,0.0,10mwt_ankle_elev
0.781837672834403,0.355732449110024,0.931467826162684,0.95,10.8299177636134,12.0,7.73551336873597,0.00132437799842559,0.0,10mwt_speed
0.747250860694242,0.374747755769848,0.914428332714653,0.95,6.96978698492713,12.0,12.9977399942483,0.000715583539718193,0.0,brooke_max_sa_ea_ratio
0.739703213842853,0.338554403735176,0.91288276756726,0.95,6.34320591071486,12.0,12.3394531433359,0.00142023337191201,0.0,10mwt_mean_max_ka
0.73899135606259,0.36223624597702,0.911127080805946,0.95,7.01042899792364,12.0,12.7816382706822,0.000750248760668928,0.0,brooke_max_ea_at_max_min_sa
0.713004669389038,0.298769429219365,0.902274590962361,0.95,5.81013573627161,12.0,12.7349877311496,0.00190145961046144,0.0,brooke_max_mean_sa
0.559970503976027,0.0816774512978209,0.837436774068019,0.95,3.98971773179397,12.0,11.8356890099405,0.0121696063406049,0.0,tug_cone_turn_max_avel
0.552268393233927,0.07228520870104,0.83391776978059,0.95,3.81099137697425,12.0,12.3088199997407,0.0133204077020245,0.0,curls_max_mean_ea
0.528736474203394,0.0285616758244231,0.824705616371463,0.95,3.34789234197264,12.0,12.9940682761987,0.0198487690007464,0.0,arm_rom_rw_area
0.519578734345422,-0.0720286754768257,0.834764875953119,0.95,5.35648289625888,12.0,4.54184789959991,0.0462629534458549,0.0,10mwrt_stride_len
0.513379433498264,-0.0180312280658351,0.82053104489855,0.95,3.0706960842448,12.0,12.7559317355105,0.0285379822216823,0.0,10mwt_trunk_lean
0.498501044282407,-0.0751802938624945,0.817550408425915,0.95,2.84374316114043,12.0,12.071786818095,0.0409457731287798,0.0,toe_stand_mean_int_aa
0.473923762021904,-0.076049959980429,0.803381050252863,0.95,2.7538776711315,12.0,12.6553786670523,0.0427233102338607,0.0,10mwrt_com_sway
0.405890569760314,-0.116894588556441,0.765629640334428,0.95,2.45186784532809,12.0,12.9998799017688,0.0612004852793223,0.0,5xsts_stance_width
0.400612409284949,-0.0862398339824905,0.758094635846515,0.95,3.13909940227332,12.0,7.97744069092973,0.0566487673090779,0.0,curls_min_max_ea
0.346894337943244,-0.259002865407966,0.746595073733173,0.95,1.99671903629457,12.0,12.1866883696263,0.121186167206069,0.0,5xsts_lean_max
0.162611688331062,-0.208801376725281,0.582793653853567,0.95,1.57585136416032,12.0,12.3526424261882,0.218374580897813,0.0,10mwrt_trunk_lean
0.158221985406414,-0.461373237927507,0.6477224361874,0.95,1.34968803587379,12.0,12.0472588720562,0.305473415806241,0.0,toe_stand_int_trunk_lean
0.0652485386382412,-0.519259861510417,0.58656176267254,0.95,1.13333268925544,12.0,12.0928536728815,0.41548930988613,0.0,10mwrt_mean_ptp_hip_add
0.0393541985399712,-0.426472699646277,0.536003946500443,0.95,1.09083349374365,12.0,12.3121030845308,0.440005119392677,0.0,10mwt_mean_ptp_hip_add
-0.148926777097431,-0.599861633943788,0.402767693409308,0.95,0.726312420523585,12.0,10.6778879371558,0.704704232287355,0.0,10mwt_stride_len
